P5: the exponent is -2/3 in every (d,q).
P6: C_y in  y_min - g^2 = C_y r^(-2/3)  tracks the band half-width s+t.
   family   r    n  best y_min   margin_y   margin_x  samples
    (3,6)   5   15    1.636594   0.961149   0.457440        8
    (3,6)   6   18    1.499851   0.824407   0.402830        8
    (3,6)   7   21    1.410387   0.734942   0.365743        8
    (3,6)   8   24    1.331000   0.655556   0.331835        8
    (3,6)   9   27    1.277145   0.601700   0.308254        8
    (3,6)  10   30    1.230697   0.555253   0.287514        8
    (3,6)  11   33    1.189604   0.514159   0.268835        8
    (3,6)  12   36    1.162155   0.486710   0.256178        8
    (3,6)  13   39    1.137003   0.461559   0.244449        8
    (3,6)  14   42    1.110332   0.434887   0.231869        8
    (3,6)  15   45    1.078597   0.403153   0.216701        8
    (3,6)  16   48    1.062266   0.386821   0.208808        8
    (3,6)  17   51    1.052159   0.376715   0.203894        8
    (3,6)  18   54    1.030512   0.355067   0.193287        8
    (3,9)   5   20    3.492037   1.492037   0.454486        8
    (3,9)   6   24    3.309781   1.309781   0.405067        8
    (3,9)   7   28    3.178508   1.178508   0.368624        8
    (3,9)   8   32    3.062025   1.062025   0.335651        8
    (3,9)   9   36    2.985277   0.985277   0.313582        8
    (3,9)  10   40    2.913784   0.913784   0.292767        8
    (3,9)  11   44    2.861978   0.861978   0.277525        8
    (3,9)  12   48    2.805155   0.805155   0.260646        8
    (3,9)  13   52    2.761269   0.761269   0.247493        8
    (3,9)  14   56    2.728622   0.728622   0.237641        8
    (3,9)  15   60    2.691308   0.691308   0.226307        8
    (3,9)  16   64    2.663223   0.663223   0.217725        8
    (3,9)  17   68    2.635733   0.635733   0.209280        8
    (3,9)  18   72    2.617357   0.617357   0.203611        8
   (3,12)   5   25    5.538970   1.919802   0.451090        8
   (3,12)   6   30    5.314505   1.695336   0.402910        8
   (3,12)   7   35    5.147234   1.528066   0.366340        8
   (3,12)   8   40    5.013634   1.394466   0.336703        8
   (3,12)   9   45    4.907026   1.287857   0.312769        8
   (3,12)  10   50    4.820489   1.201321   0.293150        8
   (3,12)  11   55    4.744963   1.125795   0.275882        8
   (3,12)  12   60    4.686071   1.066903   0.262322        8
   (3,12)  13   65    4.631625   1.012456   0.249710        8
   (3,12)  14   70    4.584491   0.965322   0.238731        8
   (3,12)  15   75    4.542351   0.923182   0.228868        8
   (3,12)  16   80    4.506163   0.886995   0.220361        8
   (3,12)  17   85    4.467611   0.848443   0.211261        8
    (4,8)   5   15    2.070610   1.235762   0.525261        8
    (4,8)   6   18    1.901962   1.067113   0.465416        8
    (4,8)   7   21    1.778708   0.943859   0.419982        8
    (4,8)   8   24    1.685575   0.850726   0.384596        8
    (4,8)   9   27    1.610370   0.775521   0.355303        8
    (4,8)  10   30    1.551399   0.716550   0.331851        8
    (4,8)  11   33    1.501768   0.666920   0.311766        8
    (4,8)  12   36    1.459013   0.624165   0.294196        8
    (4,8)  13   39    1.424710   0.589861   0.279912        8
    (4,8)  14   42    1.391871   0.557022   0.266075        8
    (4,8)  15   45    1.364368   0.529520   0.254361        8
    (4,8)  16   48    1.336414   0.501565   0.242333        8
    (4,8)  17   51    1.316741   0.481892   0.233793        8
    (4,8)  18   54    1.297471   0.462623   0.225366        8
   (4,12)   5   20    4.464086   1.953211   0.528264        8
   (4,12)   6   24    4.223056   1.712181   0.470434        8
   (4,12)   7   28    4.045414   1.534539   0.426747        8
   (4,12)   8   32    3.905617   1.394743   0.391689        8
   (4,12)   9   36    3.796279   1.285404   0.363830        8
   (4,12)  10   40    3.704333   1.193458   0.340090        5
25s
   family  pts  exp in r (y)     R^2       C_y  exp in n (x)     s+t  C_y/(s+t)
    (3,6)   14       -0.7677  0.9992    3.2685       -0.6661  3.6503     0.8954
    (3,9)   14       -0.6923  0.9997    4.5195       -0.6314  4.2426     1.0653
   (3,12)   13       -0.6639  0.9998    5.5608       -0.6177  4.7308     1.1754
    (4,8)   14       -0.7648  0.9998    4.1905       -0.6608  4.3778     0.9572
   (4,12)    6       -0.7104  1.0000    6.1186       -0.6351  5.0487     1.2119
  mean exponent in r: -0.7198   (-2/3 = -0.6667)
  P5 HOLDS: nearest exponent is -2/3, over 5 families including d = [3, 4]
  C_y / (s+t): mean 1.0610, relative spread 0.115
  log C_y against log(s+t): slope 1.9556
  P6 FAILS: C_y is NOT proportional to s+t. Spread 0.115 and the fitted power is 1.956, not 1.
