2-cut attack on C1: two hubs, p identical branches attached to both.
self-check of the 2-cut identity:
  identity       K2,3 p=3 n= 17: OK
  identity      path4 p=4 n= 18: OK
  identity   K2,4both p=3 n= 20: OK
      branch  p    n  cuts       root     defect    width  verdict
        K2,2  2   10     0          -          -        -  in spec
        K2,2  3   14     0          -          -        -  in spec
        K2,2  4   18     0          -          -        -  in spec
        K2,2  5   22     0          -          -        -  in spec
        K2,2  6   26     0          -          -        -  in spec
        K2,2  7   30     0          -          -        -  in spec
        K2,2  8   34     0          -          -        -  in spec
        K2,2  9   38     0          -          -        -  in spec
        K2,2 10   42     0          -          -        -  in spec
        K2,3  2   12     0          -          -        -  in spec
        K2,3  3   17     0          -          -        -  in spec
        K2,3  4   22     0          -          -        -  in spec
        K2,3  5   27     0          -          -        -  in spec
        K2,3  6   32     0          -          -        -  in spec
        K2,3  7   37     0          -          -        -  in spec
        K2,3  8   42     0          -          -        -  in spec
        K2,3  9   47     0          -          -        -  in spec
        K2,3 10   52     0          -          -        -  in spec
        K2,4  2   14     0          -          -        -  in spec
        K2,4  3   20     0          -          -        -  in spec
        K2,4  4   26     0          -          -        -  in spec
        K2,4  5   32     0          -          -        -  in spec
        K2,4  6   38     0          -          -        -  in spec
        K2,4  7   44     0          -          -        -  in spec
        K2,4  8   50     0          -          -        -  in spec
        K2,4  9   56     0          -          -        -  in spec
        K2,4 10   62     0          -          -        -  in spec
        K2,5  2   16     0          -          -        -  in spec
        K2,5  3   23     0          -          -        -  in spec
        K2,5  4   30     0          -          -        -  in spec
        K2,5  5   37     0          -          -        -  in spec
        K2,5  6   44     0          -          -        -  in spec
        K2,5  7   51     0          -          -        -  in spec
        K2,5  8   58     0          -          -        -  in spec
34 configurations, <t>
no gap root anywhere in the 2-cut family. C1 survives the attack most likely to break it.
